participant,exp,task,item,status,TextGridLabel,duration,time_course_segment,sex,f0,f1,f2,f3,in,is_palatal,f1norm,f2norm,pre_c
p03,carrier,1,falufialo,hit,i,64.8,70,m,107.44,505.78,2085.4,2843.59,76.26,other,0.4621889795390724,-0.41561899070227776,other
p03,carrier,1,falufialo,hit,i,64.8,80,m,106.99,529.75,2037.19,2859.23,76.37,other,0.5908939152658395,-0.5535734041579182,other
p03,carrier,1,falufialo,hit,i,64.8,90,m,106.5,554.23,1995.26,2864.88,76.39,other,0.7223372538804099,-0.6735574024195862,other
p03,carrier,1,falufialo,hit,i,64.8,100,m,106.26,580.38,1962.83,2845.8,76.34,other,0.8627475195981801,-0.7663568554037476,other
p03,carrier,1,falukiago,hit,i,59.5,0,m,118.84,340.32,2488.06,3054.43,77.11,other,-0.4262348279432323,0.7366051147125354,other
p03,carrier,1,falukiago,hit,i,59.5,10,m,116.07,352.67,2515.19,3073.25,78.99,other,-0.35992252271896974,0.8142384529629303,other
p03,carrier,1,falukiago,hit,i,59.5,20,m,114.45,364.61,2635.8,3226.44,79.71,other,-0.2958116786398043,1.1593677167439882,other
p03,carrier,1,falukiago,hit,i,59.5,30,m,113.39,389.57,2573.29,3127.01,79.77,other,-0.1617910196602424,0.9804934088179956,other
p03,carrier,1,falukiago,hit,i,59.5,40,m,112.99,417.9,2441.3,2933.76,79.95,other,-0.00967542395146879,0.6027999213255677,other
p03,carrier,1,falukiago,hit,i,59.5,50,m,112.59,450.54,2126.71,2499.93,80.22,other,0.16558236086795866,-0.2974091417113527,other
p03,carrier,1,falukiago,hit,i,59.5,60,m,112.19,484.25,2043.47,2476.64,80.45,other,0.3465854223343462,-0.5356029889639456,other
p03,carrier,1,falukiago,hit,i,59.5,70,m,111.84,519.17,2218.74,2912.08,80.58,other,0.5340854788874831,-0.03406243624936242,other
p03,carrier,1,falukiago,hit,i,59.5,80,m,111.52,542.91,2025.32,2704.48,81.02,other,0.661555448606025,-0.5875397780993924,other
p03,carrier,1,falukiago,hit,i,59.5,90,m,111.29,562.63,1753.9,2374.35,81.44,other,0.7674403602677624,-1.364216544333159,other
p03,carrier,1,falukiago,hit,i,59.5,100,m,110.95,573.64,1636.19,2421.08,81.56,other,0.8265576461397567,-1.7010473679768727,other
p03,carrier,1,liamo,hit,i,83.04,0,m,118.52,354.9,2140.83,2995.64,76.77,other,-0.3479487218566133,-0.25700432283573293,other
p03,carrier,1,liamo,hit,i,83.04,10,m,117.64,364.74,2197.43,2933.02,78.1,other,-0.29511365437428577,-0.0950416636034319,other
p03,carrier,1,liamo,hit,i,83.04,20,m,116.84,375.05,2214.04,2971.72,78.28,other,-0.2397549607012375,-0.04751163233402297,other
p03,carrier,1,liamo,hit,i,83.04,30,m,116.64,374.18,2308.28,3162.7,78.07,other,-0.24442635386278477,0.22215905681884124,other
p03,carrier,1,liamo,hit,i,83.04,40,m,116.89,385.77,2329.75,3096.29,77.98,other,-0.18219480588309245,0.2835961291460051,other
p03,carrier,1,liamo,hit,i,83.04,50,m,117.3,405.65,2339.17,3051.14,78.19,other,-0.07545078743302466,0.3105517519369643,other
p03,carrier,1,liamo,hit,i,83.04,60,m,117.64,429.54,2337.27,3063.25,78.6,other,0.05282459489957718,0.3051148428814628,other
p03,carrier,1,liamo,hit,i,83.04,70,m,118.03,458.3,2309.07,3035.04,79.02,other,0.2072490401019891,0.22441966637349692,other
p03,carrier,1,liamo,hit,i,83.04,80,m,118.22,508.15,2334.96,3007.41,79.33,other,0.47491449884121834,0.29850470608240615,other
p03,carrier,1,liamo,hit,i,83.04,90,m,117.9,555.18,2168.95,2852.63,79.44,other,0.7274382004361221,-0.1765380688143143,other
p03,carrier,1,liamo,hit,i,83.04,100,m,117.08,578.27,2037.27,2862.24,79.26,other,0.8514180488270713,-0.5533444816713711,other
p03,carrier,1,lliape,hit,i,182.83,0,m,111.46,313.83,2403.58,3406.31,75.84,palatal,-0.568470695586205,0.4948629689184573,j
p03,carrier,1,lliape,hit,i,182.83,10,m,107.93,288.81,2423.51,3450.36,73.26,palatal,-0.7028135196113909,0.5518932833795848,j
p03,carrier,1,lliape,hit,i,182.83,20,m,107.02,281.4,2699.98,3593.05,72.52,palatal,-0.7426009027459485,1.3430207815766575,j
p03,carrier,1,lliape,hit,i,182.83,30,m,105.57,279.19,3292.79,3593.71,71.17,palatal,-0.7544673152597637,3.0393650222038753,j
p03,carrier,1,lliape,hit,i,182.83,40,m,105.97,263.09,3475.82,3901.21,71.33,palatal,-0.840914935835523,3.5631110561135597,j
p03,carrier,1,lliape,hit,i,182.83,50,m,107.36,263.4,3519.35,3744.22,71.58,palatal,-0.8392504164331326,3.6876735041061752,j
p03,carrier,1,lliape,hit,i,182.83,60,m,108.42,279.2,3381.03,3891.15,72.05,palatal,-0.7544136210854931,3.2918665248656827,j
p03,carrier,1,lliape,hit,i,182.83,70,m,108.92,294.08,3483.81,3874.38,73.73,palatal,-0.6745166897707543,3.585974689457483,j
p03,carrier,1,lliape,hit,i,182.83,80,m,110.37,303.73,3316.03,3624.29,76.01,palatal,-0.6227018115995693,3.1058670045459023,j
p03,carrier,1,lliape,hit,i,182.83,90,m,113.36,320.16,3154.05,3705.29,78.02,palatal,-0.5344822832728784,2.642356199909009,j
p03,carrier,1,lliape,hit,i,182.83,100,m,116.63,348.81,2683.16,3296.47,79.15,palatal,-0.3806484739874438,1.2948898287800614,j
p03,carrier,1,manhiala,hit,i,137.2,0,m,108.57,235.69,1460.27,3243.56,77.85,palatal,-0.9880369733371256,-2.204447915894655,nh
p03,carrier,1,manhiala,hit,i,137.2,10,m,110.01,276.74,3220.22,3436.47,78.23,palatal,-0.7676223879560748,2.8317037115945443,nh
p03,carrier,1,manhiala,hit,i,137.2,20,m,110,341.14,3180.16,3546.24,78.7,palatal,-0.4218319056530384,2.7170707764559228,nh
p03,carrier,1,manhiala,hit,i,137.2,30,m,110.17,385.63,3226.22,3545.56,78.95,palatal,-0.1829465243228816,2.848872898085601,nh
p03,carrier,1,manhiala,hit,i,137.2,40,m,110.71,393.13,3197.01,3444.2,79.36,palatal,-0.1426758936198882,2.7652875751849746,nh
p03,carrier,1,manhiala,hit,i,137.2,50,m,110.71,439.2,3005.22,3347,79.56,palatal,0.1046931672450325,2.2164745289983467,nh
p03,carrier,1,manhiala,hit,i,137.2,60,m,111.09,488.58,2960.87,3217.65,79.67,palatal,0.36983499979354095,2.08956562551862,nh
p03,carrier,1,manhiala,hit,i,137.2,70,m,111.97,495.21,2598.98,3214.91,80.1,palatal,0.405434237334987,1.054006142310537,nh
p03,carrier,1,manhiala,hit,i,137.2,80,m,112.53,519.99,1998.44,2790.22,80.92,palatal,0.5384884011776774,-0.6644577335793259,nh
p03,carrier,1,manhiala,hit,i,137.2,90,m,112.02,535.69,2044.05,2861.89,81.1,palatal,0.6227882547826105,-0.533943300936477,nh
p03,carrier,1,manhiala,hit,i,137.2,100,m,111.41,550.73,1951.37,2938.75,80.8,palatal,0.7035442928856797,-0.799150001601666,nh
p03,carrier,1,mebochiana,hit,i,83.25,0,m,116.54,1008.41,2715.94,3484.69,71.75,palatal,3.161019260905148,1.3886908176428685,ch
p03,carrier,1,mebochiana,hit,i,83.25,10,m,116.14,338.54,2488.11,3137.2,76.05,palatal,-0.43579239096340927,0.736748191266628,ch
p03,carrier,1,mebochiana,hit,i,83.25,20,m,113.7,357.04,2455.68,2918.89,77.76,palatal,-0.3364581685626923,0.6439487382824659,ch
p03,carrier,1,mebochiana,hit,i,83.25,30,m,112.71,371.64,2539.96,2986.42,78.17,palatal,-0.258064674127532,0.8851185778601759,ch
p03,carrier,1,mebochiana,hit,i,83.25,40,m,112.09,383.57,2195.39,2900.23,78.24,palatal,-0.19400752422263712,-0.10087918701039106,ch
p03,carrier,1,mebochiana,hit,i,83.25,50,m,111.49,411.09,2349.92,2997.51,78.29,palatal,-0.0462411566297868,0.3413132110667742,ch
p03,carrier,1,mebochiana,hit,i,83.25,60,m,110.99,449.16,2360.34,3017.85,78.35,palatal,0.15817256481860792,0.3711303649395762,ch
p03,carrier,1,mebochiana,hit,i,83.25,70,m,110.63,483.89,2310.5,2981.34,78.5,palatal,0.3446524320606024,0.22851165582053165,ch
p03,carrier,1,mebochiana,hit,i,83.25,80,m,110.47,513.98,2236.29,2938.88,78.88,palatal,0.5062182024410121,0.01615743423697887,ch
p03,carrier,1,mebochiana,hit,i,83.25,90,m,110.53,541.56,2142.54,2927.23,79.36,palatal,0.654306735079486,-0.2521111046857817,ch
p03,carrier,1,mebochiana,hit,i,83.25,100,m,110.66,559.79,2038.32,2916.04,79.6,palatal,0.7521912147748954,-0.5503398740354363,ch
p03,carrier,1,nhiape,hit,i,122.44,0,m,123.21,251.58,1532.32,3444.27,82.52,palatal,-0.90271693042105,-1.9982746014478825,nh
p03,carrier,1,nhiape,hit,i,122.44,10,m,122.93,259.63,2157.27,3467.38,82.52,palatal,-0.8594931201331706,-0.2099607518502375,nh
p03,carrier,1,nhiape,hit,i,122.44,20,m,122.08,269.43,2361.94,3436.06,82.22,palatal,-0.8068728293479258,0.3757088146705243,nh
p03,carrier,1,nhiape,hit,i,122.44,30,m,121.18,274.81,2537.75,3371.43,81.76,palatal,-0.7779853635903119,0.8787945941693033,nh
p03,carrier,1,nhiape,hit,i,122.44,40,m,120.51,292.01,2363.88,3090.93,81.32,palatal,-0.6856313838447804,0.38126018496929953,nh
p03,carrier,1,nhiape,hit,i,122.44,50,m,120.16,313.95,2214.46,3055.28,81.11,palatal,-0.5678263654949571,-0.04630978927964879,nh
p03,carrier,1,nhiape,hit,i,122.44,60,m,120.01,335.83,2443.12,3092.75,81.05,palatal,-0.45034351219075774,0.6080079078945207,nh
p03,carrier,1,nhiape,hit,i,122.44,70,m,120.01,393.91,2688.96,3139,81.09,palatal,-0.1384877480267767,1.31148670905475,nh
p03,carrier,1,nhiape,hit,i,122.44,80,m,119.87,384.05,2462.33,3065.2,81.15,palatal,-0.19143020385764545,0.6629779199767206,nh
p03,carrier,1,nhiape,hit,i,122.44,90,m,119.79,413.68,2397.48,3050.41,81.12,palatal,-0.03233436549368625,0.47740762931921665,nh
p03,carrier,1,nhiape,hit,i,122.44,100,m,119.77,450.8,2310.97,2952.71,81.1,palatal,0.16697840939899572,0.2298565754289972,nh
p03,carrier,1,pachialo,hit,i,88.06,0,m,116.85,296.59,2577.6,3213.01,74.88,palatal,-0.6610394520288192,0.9928266077807376,ch
p03,carrier,1,pachialo,hit,i,88.06,10,m,115.94,315.42,2486.46,2989.53,76.94,palatal,-0.5599333218771703,0.7320266649815872,ch
p03,carrier,1,pachialo,hit,i,88.06,20,m,115.23,320.78,2378.41,2964.98,77.63,palatal,-0.5311532444680979,0.4228382315884744,ch
p03,carrier,1,pachialo,hit,i,88.06,30,m,114.71,326.36,2410.35,3004.68,77.8,palatal,-0.5011918952250706,0.5142355343425329,ch
p03,carrier,1,pachialo,hit,i,88.06,40,m,114.33,334.69,2408.34,3241.67,77.71,palatal,-0.45646464805761267,0.5084838568680295,ch
p03,carrier,1,pachialo,hit,i,88.06,50,m,114.07,339.77,2398.68,3057.97,77.63,palatal,-0.4291880075281186,0.48084146661742744,ch
p03,carrier,1,pachialo,hit,i,88.06,60,m,113.78,351,2315.29,2981.11,77.6,palatal,-0.3688894498221697,0.24221838970255843,ch
p03,carrier,1,pachialo,hit,i,88.06,70,m,113.49,377.24,2234.69,2912.62,77.58,palatal,-0.22799593653596345,0.01157898450603068,ch
p03,carrier,1,pachialo,hit,i,88.06,80,m,114.08,418.45,2217.52,2898.56,77.96,palatal,-0.00672224436658254,-0.03755350416921004,ch
p03,carrier,1,pachialo,hit,i,88.06,90,m,113.9,466.62,2205.12,2942.92,78.69,palatal,0.2519225930951764,-0.07303648958406077,ch
p03,carrier,1,pachialo,hit,i,88.06,100,m,113.35,512.67,2089.77,2904.85,79.25,palatal,0.4991842656115556,-0.4031140998746251,ch
p03,carrier,2,piano,hit,i,91.53,0,m,116.43,322.52,2144.42,2825.89,78.08,other,-0.5218104581450034,-0.24673142625191696,other
p03,carrier,2,piano,hit,i,91.53,10,m,114.51,312.69,2149.1,2887.31,79.18,other,-0.5745918314530599,-0.23333946078889323,other
p03,carrier,2,piano,hit,i,91.53,20,m,113.71,311.83,2227.06,2940.9,79.3,other,-0.5792095304403366,-0.01025449764843003,other
p03,carrier,2,piano,hit,i,91.53,30,m,112.78,327.05,2251.83,2980.55,79.33,other,-0.4974869972003952,0.06062562724881556,other
p03,carrier,2,piano,hit,i,91.53,40,m,112.35,350.26,2257.43,2916.24,79.22,other,-0.3728628187181984,0.07665020130713487,other
p03,carrier,2,piano,hit,i,91.53,50,m,112.28,380.95,2244.62,2891.82,79.35,other,-0.2080753978815495,0.03999398814872902,other
p03,carrier,2,piano,hit,i,91.53,60,m,112.89,412.43,2238.08,2883.39,79.83,other,-0.03904613727751848,0.02127957487347735,other
p03,carrier,2,piano,hit,i,91.53,70,m,113.82,437.57,2228.97,2819.25,80.2,other,0.09594101683891527,-0.00478897328211073,other
p03,carrier,2,piano,hit,i,91.53,80,m,113.85,459.4,2195.22,2760,80.09,other,0.2131553992717613,-0.10136564729430454,other
p03,carrier,2,piano,hit,i,91.53,90,m,113.87,485.13,2131.43,2742.24,79.59,other,0.35131050967016403,-0.2839027150050553,other
p03,carrier,2,piano,hit,i,91.53,100,m,114.22,513.98,2053.09,2689.75,79.14,other,0.5062182024410121,-0.5080750599566178,other
p04,carrier,1,chiaba,hit,i,65.69,0,m,NA,1818.25,2980.01,3582.26,74.56,palatal,11.982779244708222,2.6747711698271055,ch
p04,carrier,1,chiaba,hit,i,65.69,10,m,NA,663,2388.2,3105.88,77.69,palatal,1.5414391661602265,0.7798859109017967,ch
p04,carrier,1,chiaba,hit,i,65.69,20,m,NA,566.33,2301.74,3101.32,79.53,palatal,0.6677197587650874,0.5030541921294168,ch
p04,carrier,1,chiaba,hit,i,65.69,30,m,NA,593.85,2288.67,3122.58,80.15,palatal,0.916450058666962,0.46120604773484214,ch
p04,carrier,1,chiaba,hit,i,65.69,40,m,NA,611.13,2294.93,3088.56,80.14,palatal,1.072629549303023,0.48124961192076665,ch
p04,carrier,1,chiaba,hit,i,65.69,50,m,NA,622.99,2174.72,3134.36,80.56,palatal,1.1798221858159674,0.09635554629934878,ch
p04,carrier,1,chiaba,hit,i,65.69,60,m,118.09,632.28,2031.68,3119.69,81.27,palatal,1.2637867383627843,-0.3616366935017285,ch
p04,carrier,1,chiaba,hit,i,65.69,70,m,117.69,638.23,1889.07,2948.1,81.86,palatal,1.3175638199186046,-0.8182521389577673,ch
p04,carrier,1,chiaba,hit,i,65.69,80,m,117.02,666.98,1888.34,2944.47,82.05,palatal,1.5774110627303377,-0.8205894874970207,ch
p04,carrier,1,chiaba,hit,i,65.69,90,m,117.49,690.17,1864.77,2964.9,82.07,palatal,1.7870061083235231,-0.8960570286890744,ch
p04,carrier,1,chiaba,hit,i,65.69,100,m,117.96,684.31,1691.01,2939.68,82.14,palatal,1.7340424616147665,-1.4524100179776325,ch
p04,carrier,1,costonhialo,hit,i,69.73,0,m,110.57,489.92,2509.73,3759.44,73.72,palatal,-0.0228864263912447,1.1690064149777553,nh
p04,carrier,1,costonhialo,hit,i,69.73,10,m,111.2,510.24,2540.33,3745.58,74.01,palatal,0.16076908574560464,1.2669829427875494,nh
p04,carrier,1,costonhialo,hit,i,69.73,20,m,113.08,528.97,2558.76,3766.56,74.64,palatal,0.33005391558434444,1.32599298878541,nh
p04,carrier,1,costonhialo,hit,i,69.73,30,m,114.23,547.8,2551.37,3797.18,75.46,palatal,0.5002425619198199,1.3023313371346124,nh
p04,carrier,1,costonhialo,hit,i,69.73,40,m,114.95,570.93,2467.39,3783.44,76.4,palatal,0.7092953176149639,1.0334401997010654,nh
p04,carrier,1,costonhialo,hit,i,69.73,50,m,115.28,608.95,2454.29,3778.49,77.16,palatal,1.052926349674168,0.9914959998870688,nh
p04,carrier,1,costonhialo,hit,i,69.73,60,m,115.49,667.81,2447.01,3746.57,77.6,palatal,1.58491273965325,0.9681865514408178,nh
p04,carrier,1,costonhialo,hit,i,69.73,70,m,115.57,759.83,2406.22,3653.68,77.92,palatal,2.4166046799501446,0.8375831995008978,nh
p04,carrier,1,costonhialo,hit,i,69.73,80,m,115.53,798.35,2419.35,3661.72,78.29,palatal,2.76475479449303,0.8796234547343165,nh
p04,carrier,1,costonhialo,hit,i,69.73,90,m,115.3,828.92,1934.35,3262.8,78.68,palatal,3.041051497545366,-0.6732724925777841,nh
p04,carrier,1,costonhialo,hit,i,69.73,100,m,114.67,858.34,903.76,2397.09,79.03,palatal,3.3069543108852346,-3.9730643159600056,nh
p04,carrier,1,falufialo,hit,i,39.71,0,m,NA,1049,2593.18,2971.24,72.66,other,5.030170843562975,1.4362005733348573,other
p04,carrier,1,falufialo,hit,i,39.71,10,m,119.82,414.65,2297.05,2629.14,75.35,other,-0.7031891034847813,0.48803752822654434,other
p04,carrier,1,falufialo,hit,i,39.71,20,m,119.82,435.23,2288.15,2941.77,77.29,other,-0.5171836684564166,0.4595410871315385,other
p04,carrier,1,falufialo,hit,i,39.71,30,m,120.1,455.81,2279.24,3254.39,78.75,other,-0.3311782334280526,0.4310126275633915,other
p04,carrier,1,falufialo,hit,i,39.71,40,m,120.42,471.97,2286.67,3294.79,79.74,other,-0.18512148755543983,0.454802353106751,other
p04,carrier,1,falufialo,hit,i,39.71,50,m,120.57,485.16,2305.06,3152.58,80.37,other,-0.06590809163590029,0.5136843252120485,other
p04,carrier,1,falufialo,hit,i,39.71,60,m,120.39,498.72,2303.72,3006.89,80.65,other,0.05664942532156419,0.509393849811227,other
p04,carrier,1,falufialo,hit,i,39.71,70,m,120.21,516.48,2076.93,2821.34,80.7,other,0.21716723514196004,-0.2167531025411672,other
p04,carrier,1,falufialo,hit,i,39.71,80,m,119.99,534.23,1850.13,2635.79,80.54,other,0.3775946633126823,-0.9429320733667012,other
p04,carrier,1,falufialo,hit,i,39.71,90,m,119.76,550.87,1705.16,2544.86,80.6,other,0.5279897283696298,-1.4071038784838872,other
p04,carrier,1,falufialo,hit,i,39.71,100,m,119.62,566.63,1623.83,2527.55,80.85,other,0.6704312082552963,-1.667510120535214,other
p04,carrier,1,falukiago,hit,i,38.98,0,m,NA,436.73,2445.38,3379.49,70.99,other,-0.5036264210053697,0.9629675403189232,other
p04,carrier,1,falukiago,hit,i,38.98,10,m,NA,453.5,2325.95,3387.43,72.69,other,-0.3520563945026649,0.5805709156024601,other
p04,carrier,1,falukiago,hit,i,38.98,20,m,NA,476.59,2264.63,3482.66,74.1,other,-0.1433651654062157,0.3842336383051868,other
p04,carrier,1,falukiago,hit,i,38.98,30,m,NA,501.79,2222.78,3607.11,75.29,other,0.08439659177137357,0.25023632821238007,other
p04,carrier,1,falukiago,hit,i,38.98,40,m,NA,527.55,2185.01,3695.23,76.24,other,0.317219721330686,0.12930255516087902,other
p04,carrier,1,falukiago,hit,i,38.98,50,m,NA,555.8,2165.41,3621.74,76.97,other,0.5725478816587369,0.06654634780558472,other
p04,carrier,1,falukiago,hit,i,38.98,60,m,NA,584.04,2145.82,3548.24,77.66,other,0.8277856603371144,0.00382215892343302,other
p04,carrier,1,falukiago,hit,i,38.98,70,m,NA,605.83,2128.99,3584.87,78.28,other,1.0247272749759906,-0.0500649313719551,other
p04,carrier,1,falukiago,hit,i,38.98,80,m,NA,623.62,2113.87,3689.57,78.81,other,1.185516229745407,-0.09847686276032376,other
p04,carrier,1,falukiago,hit,i,38.98,90,m,NA,641.63,2097.43,3786.25,79.23,other,1.3482935808076442,-0.15111523260323306,other
p04,carrier,1,falukiago,hit,i,38.98,100,m,NA,663.31,2057.05,3738.25,79.48,other,1.544240997300109,-0.280405827144392,other
p04,carrier,1,liamo,hit,i,52.17,0,m,118.88,431.19,2358.36,3217.67,73.74,other,-0.5536978549245699,0.684342787050678,other
p04,carrier,1,liamo,hit,i,52.17,10,m,118.75,418.07,2415.43,3198.99,76.22,other,-0.672278579296394,0.8670722132632576,other
p04,carrier,1,liamo,hit,i,52.17,20,m,117.8,414.66,2457.28,3163.68,77.86,other,-0.7030987218351071,1.0010695233560658,other
p04,carrier,1,liamo,hit,i,52.17,30,m,117.56,428.21,2472.61,3099.36,79.15,other,-0.5806315865273167,1.050153842680384,other
p04,carrier,1,liamo,hit,i,52.17,40,m,118.35,442.81,2464.71,3048.01,80.14,other,-0.4486743780037928,1.0248592488994237,other
p04,carrier,1,liamo,hit,i,52.17,50,m,118.87,458.7,2428.13,3012.68,80.93,other,-0.3050579366723689,0.9077356741516373,other
p04,carrier,1,liamo,hit,i,52.17,60,m,119.13,477.87,2433.64,2993.62,81.43,other,-0.13179631424798868,0.9253778528520274,other
p04,carrier,1,liamo,hit,i,52.17,70,m,119.13,499.94,2476.39,2988.94,81.67,other,0.06767598658174878,1.0622568255274756,other
p04,carrier,1,liamo,hit,i,52.17,80,m,118.93,525.74,2423.7,2868.92,81.73,other,0.3008606427397565,0.8935514905504144,other
p04,carrier,1,liamo,hit,i,52.17,90,m,118.76,553.89,2310.91,2676.25,81.96,other,0.5552849865710708,0.5324151319992149,other
p04,carrier,1,liamo,hit,i,52.17,100,m,118.59,577.4,2224.64,2630.08,82.41,other,0.7677722449538134,0.25619176421650375,other
p04,carrier,1,lliape,hit,i,83.95,0,m,117.89,354.22,1996.53,3218.93,74.31,palatal,-1.2493654124626257,-0.4741816265904305,j
p04,carrier,1,lliape,hit,i,83.95,10,m,118.27,352.23,2317.95,3502.92,75.15,palatal,-1.2673513607476814,0.5549561370900955,j
p04,carrier,1,lliape,hit,i,83.95,20,m,119.78,353.85,2477.48,3507.92,76.54,palatal,-1.2527095335005507,1.0657468390997855,j
p04,carrier,1,lliape,hit,i,83.95,30,m,120.12,367.78,2521.71,3474.27,78.08,palatal,-1.1268078955051617,1.2073645458000213,j
p04,carrier,1,lliape,hit,i,83.95,40,m,122.1,395.15,2514.64,3343.27,79.22,palatal,-0.8794333203483916,1.1847274852897185,j
p04,carrier,1,lliape,hit,i,83.95,50,m,123.8,436.61,2438.47,3150.77,79.99,palatal,-0.5047110008014535,0.9408427753788672,j
p04,carrier,1,lliape,hit,i,83.95,60,m,124.44,486.22,2371.75,3078.93,80.68,palatal,-0.05632763677049376,0.7272155225857477,j
p04,carrier,1,lliape,hit,i,83.95,70,m,124.48,541.99,2332.51,2971.75,81.19,palatal,0.4477308234594318,0.6015750339826003,j
p04,carrier,1,lliape,hit,i,83.95,80,m,124.04,595.73,2246.41,2833.57,81.83,palatal,0.9334418088056076,0.3258959802432757,j
p04,carrier,1,lliape,hit,i,83.95,90,m,123.8,635.2,2119.03,2751.73,82.22,palatal,1.29017818006749,-0.08195533061984762,j
p04,carrier,1,lliape,hit,i,83.95,100,m,122.72,663.47,2012.13,2781.77,81.87,palatal,1.545687103694888,-0.4242328084913191,j
p04,carrier,1,manhiala,hit,i,70.48,0,m,113.64,451.72,2339.33,3055.98,74.75,palatal,-0.3681443281445737,0.6234116326643901,nh
p04,carrier,1,manhiala,hit,i,70.48,10,m,113.68,444.47,2657.07,3182.29,74.86,palatal,-0.4336710241579673,1.6407665982292297,nh
p04,carrier,1,manhiala,hit,i,70.48,20,m,113.66,452.15,2685.21,3106.43,74.98,palatal,-0.36425791720860734,1.7308665816464714,nh
